Artist Name,Title of Song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot_song,cluster
Steve Lacy ,Bad Habit,4k6Uh1HXdhtusDW5y8Gbvy,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,audio_features,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/tracks/4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/audio-analysis/4k6Uh1HXdhtusDW5y8Gbvy,232067,4,0,2
Pop Smoke ,Coupe,4wNKxMbE3n1gRm4F6OaCP1,0.912,0.589,8,-7.476,1,0.2,0.0332,0.0162,0.0795,0.486,135.921,audio_features,spotify:track:4wNKxMbE3n1gRm4F6OaCP1,https://api.spotify.com/v1/tracks/4wNKxMbE3n1gRm4F6OaCP1,https://api.spotify.com/v1/audio-analysis/4wNKxMbE3n1gRm4F6OaCP1,123549,4,0,1
The Jackson 5 ,I Want You Back,5LxvwujISqiB8vpRYv887S,0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,audio_features,spotify:track:5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/tracks/5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/audio-analysis/5LxvwujISqiB8vpRYv887S,176333,4,0,2
Marshmello ,Too Much,39umHdGKfpnjY4TFtnoQ51,0.712,0.891,6,-2.76,0,0.0401,0.00415,0.0,0.258,0.735,126.012,audio_features,spotify:track:39umHdGKfpnjY4TFtnoQ51,https://api.spotify.com/v1/tracks/39umHdGKfpnjY4TFtnoQ51,https://api.spotify.com/v1/audio-analysis/39umHdGKfpnjY4TFtnoQ51,165704,4,0,6
Imagine Dragons ,Yesterday,2SJf7W18D1AEpr8L9ATu0c,0.569,0.645,4,-6.169,1,0.0513,0.253,0.0,0.413,0.54,156.031,audio_features,spotify:track:2SJf7W18D1AEpr8L9ATu0c,https://api.spotify.com/v1/tracks/2SJf7W18D1AEpr8L9ATu0c,https://api.spotify.com/v1/audio-analysis/2SJf7W18D1AEpr8L9ATu0c,205114,3,0,4
Rusted Root ,Send Me On My Way,6XK6Zw6JkFsHXzAcMWNiIr,0.5,0.704,0,-8.797,1,0.0695,0.125,1.79e-05,0.138,0.722,119.463,audio_features,spotify:track:6XK6Zw6JkFsHXzAcMWNiIr,https://api.spotify.com/v1/tracks/6XK6Zw6JkFsHXzAcMWNiIr,https://api.spotify.com/v1/audio-analysis/6XK6Zw6JkFsHXzAcMWNiIr,263360,4,0,6
MAGIC! ,Rude  Zedd Remix,6rmtT7Y8cH7NpvovoPiV6k,0.598,0.836,1,-2.388,1,0.0457,0.0324,2.44e-06,0.0751,0.343,130.009,audio_features,spotify:track:6rmtT7Y8cH7NpvovoPiV6k,https://api.spotify.com/v1/tracks/6rmtT7Y8cH7NpvovoPiV6k,https://api.spotify.com/v1/audio-analysis/6rmtT7Y8cH7NpvovoPiV6k,273231,4,0,1
One Direction ,Little Things,0TAmnCzOtqRfvA38DDLTjj,0.709,0.22,7,-11.856,1,0.0327,0.811,0.0,0.175,0.53,110.076,audio_features,spotify:track:0TAmnCzOtqRfvA38DDLTjj,https://api.spotify.com/v1/tracks/0TAmnCzOtqRfvA38DDLTjj,https://api.spotify.com/v1/audio-analysis/0TAmnCzOtqRfvA38DDLTjj,219040,4,0,3
Måneskin ,MAMMAMIA,78SCmQ8A7KQSMdkem2SwBP,0.767,0.678,1,-3.284,0,0.0686,0.000615,0.0,0.0952,0.791,142.06,audio_features,spotify:track:78SCmQ8A7KQSMdkem2SwBP,https://api.spotify.com/v1/tracks/78SCmQ8A7KQSMdkem2SwBP,https://api.spotify.com/v1/audio-analysis/78SCmQ8A7KQSMdkem2SwBP,186809,4,0,1
PnB Rock ,Issues,1ysDVWxBj5Set0fA05TcyP,0.655,0.642,9,-6.758,1,0.0729,0.203,2.3e-05,0.11,0.208,83.974,audio_features,spotify:track:1ysDVWxBj5Set0fA05TcyP,https://api.spotify.com/v1/tracks/1ysDVWxBj5Set0fA05TcyP,https://api.spotify.com/v1/audio-analysis/1ysDVWxBj5Set0fA05TcyP,232857,4,0,0
